station,lines,reason,latitude,longitude
"Amstelveen, Amstelveen Stadshart",5,"in Amstelveen (0362), outside gemeente 0363",52.301197,4.867484
"Amstelveen, Brink",6 25,"in Amstelveen (0362), outside gemeente 0363",52.280558,4.8516935
"Amstelveen, Kronenburg",5 6 25,"in Amstelveen (0362), outside gemeente 0363",52.315856499999995,4.8706265
"Amstelveen, Meent",6 25,"in Amstelveen (0362), outside gemeente 0363",52.281090500000005,4.857197
"Amstelveen, Onderuit",5 6 25,"in Amstelveen (0362), outside gemeente 0363",52.308221,4.872504
"Amstelveen, Oranjebaan",5 6 25,"in Amstelveen (0362), outside gemeente 0363",52.303311,4.8719815
"Amstelveen, Ouderkerkerlaan",6 25,"in Amstelveen (0362), outside gemeente 0363",52.29625849999999,4.867534
"Amstelveen, Poortwachter",6 25,"in Amstelveen (0362), outside gemeente 0363",52.28323,4.8454185
"Amstelveen, Sacharovlaan",6 25,"in Amstelveen (0362), outside gemeente 0363",52.2823705,4.8325320000000005
"Amstelveen, Sportlaan",6 25,"in Amstelveen (0362), outside gemeente 0363",52.2901115,4.8636555
"Amstelveen, Westwijk",6 25,"in Amstelveen (0362), outside gemeente 0363",52.274542499999995,4.8307255
"Amstelveen, Zonnestein",5 6 25,"in Amstelveen (0362), outside gemeente 0363",52.311757,4.872324
Van der Madeweg,50 53 54,"in Ouder-Amstel (0437), outside gemeente 0363",52.32965575,4.9303205
"Diemen, Arent Krijtsstraat",29,"in Diemen (0384), outside gemeente 0363",52.339478,4.9550909999999995
"Diemen, Diemen Sniep",29,"in Diemen (0384), outside gemeente 0363",52.3367265,4.969614
"Diemen, Diemerbrug",29,"in Diemen (0384), outside gemeente 0363",52.338309499999994,4.961206
"Diemen, Station Diemen Zuid",53,"in Diemen (0384), outside gemeente 0363",52.330315999999996,4.9566175
"Diemen, Verrijn Stuartweg",53,"in Diemen (0384), outside gemeente 0363",52.328627,4.9667414999999995
"Duivendrecht, Station Duivendrecht",50 54,"in Ouder-Amstel (0437), outside gemeente 0363",52.3235725,4.936522
"Uithoorn, Aan de Zoom",25,"in Uithoorn (0451), outside gemeente 0363",52.248993999999996,4.811854
"Uithoorn, Uithoorn Busstation",25,"in Uithoorn (0451), outside gemeente 0363",52.2431305,4.821352
"Uithoorn, Uithoorn Centrum",25,"in Uithoorn (0451), outside gemeente 0363",52.235039,4.834293
2e Van der Helststraat,25,"spacing filter on Tram 25: 0.167 mi after De Pijp, under 0.5 mi",52.353267,4.8945495
Albert Cuypstraat,4,"spacing filter on Tram 4: 0.196 mi after Ceintuurbaan, under 0.5 mi",52.357453,4.8994495
Alexanderplein,1,"spacing filter on Tram 1: 0.229 mi after Korte 's-Gravesandestr, under 0.5 mi",52.363915,4.9193825
Amsteldijk,12,"spacing filter on Tram 12: 0.226 mi after Victorieplein, under 0.5 mi",52.347077999999996,4.910864
