station,latitude,longitude,lines,distance_outside_m
Molí Nou | Ciutat Cooperativa,41.35752325,2.03528005,Barcelona Metro,5979.0
Aeroport T1,41.28823285,2.07097255,Barcelona Metro,5421.0
Sant Boi,41.34842775,2.0430800500000004,Barcelona Metro,5177.0
Aeroport T2,41.303826799999996,2.0731215499999998,Barcelona Metro,4084.0
Cornellà Centre,41.357299299999994,2.0705818999999996,Barcelona Metro,3624.0
Mas Blau,41.3113051,2.07343185,Barcelona Metro,3589.0
Cornellà-Riera,41.35147105,2.0706573500000003,Barcelona Metro,3215.0
Gavarra,41.357978349999996,2.07922045,Barcelona Metro,3167.0
Badalona Pompeu Fabra,41.4489582,2.2442225000000002,Barcelona Metro,3146.0
Pep Ventura,41.4439237,2.2380194500000004,Barcelona Metro,2504.0
Almeda,41.35303665,2.08451305,Barcelona Metro,2487.0
Sant Ildefons,41.36335185,2.08432655,Barcelona Metro,2434.0
Parc Nou,41.316699549999996,2.0874054,Barcelona Metro,2293.0
Gorg,41.440462350000004,2.23374375,Barcelona Metro,2077.0
Avinguda Carrilet,41.358418775,2.102694525,Barcelona Metro,2030.0
Can Boixeres,41.36656085,2.09148455,Barcelona Metro,1794.0
Sant Josep,41.3608536,2.110395,Barcelona Metro,1673.0
Cèntric,41.321836399999995,2.093572,Barcelona Metro,1559.0
Rambla Just Oliveras,41.36401895,2.09981275,Barcelona Metro,1556.0
Sant Roc,41.43529945,2.22782355,Barcelona Metro,1454.0
la Salut,41.442738649999995,2.22466705,Barcelona Metro,1384.0
Fondo,41.4516761,2.218521,Barcelona Metro,1340.0
Bellvitge Rambla Marina,41.35096575,2.11093565,Barcelona Metro,1281.0
Can Tries - Gornal,41.36086335,2.1181396,Barcelona Metro,1275.0
Gornal,41.3549965,2.1171131,Barcelona Metro,1247.0
Església Major,41.454781499999996,2.212327,Barcelona Metro,1116.0
el Prat Estació,41.3316674,2.0901302499999996,Barcelona Metro,1096.0
Can Serra,41.36769235,2.1027504500000003,Barcelona Metro,1080.0
Singuerlín,41.459400849999994,2.20544095,Barcelona Metro,1013.0
Can Vidalet,41.371733899999995,2.09975115,Barcelona Metro,945.0
Santa Rosa,41.44676765,2.2157536,Barcelona Metro,859.0
Florida,41.3683231,2.1098318000000003,Barcelona Metro,846.0
Torrassa,41.368200975,2.1161209249999997,Barcelona Metro,844.0
Hospital de Bellvitge,41.344649649999994,2.10720155,Barcelona Metro,781.0
Provençana,41.3613816,2.12427455,Barcelona Metro,777.0
Llefià,41.44149505,2.21739455,Barcelona Metro,761.0
Artigues | Sant Adrià,41.433733000000004,2.21756665,Barcelona Metro,585.0
Santa Coloma,41.4510669,2.2079443,Barcelona Metro,578.0
Europa | Fira,41.35736195,2.1255490999999997,Barcelona Metro,575.0
Can Zam,41.45769175,2.1985085,Barcelona Metro,473.0
Les Moreres,41.32901215,2.1031472,Barcelona Metro,455.0
Can Peixauet,41.44454065,2.2103603,Barcelona Metro,346.0
Fira,41.3518553,2.1305899999999998,Barcelona Metro,319.0
Pubilla Cases,41.373805000000004,2.10706375,Barcelona Metro,317.0
Ildefons Cerdà,41.36078565,2.12977235,Barcelona Metro,314.0
Verneda,41.4298918,2.2097726,Barcelona Metro,231.0
Santa Eulàlia,41.368787499999996,2.12856815,Barcelona Metro,186.0
Ciutat de la Justícia,41.363269900000006,2.1333194,Barcelona Metro,52.0
Collblanc,41.375781275,2.118627575,Barcelona Metro,41.0
Can Cuiàs,41.4623308,2.1730902,Barcelona Metro,14.0
