station,line,latitude,longitude,reason,located_in,nearest_kept_station,miles_since_nearest_kept
Allston Street,Green Line,42.348701,-71.137955,"Green Line spacing filter (surface stop, under 0.5 mi since the nearest kept stop)",,Harvard Avenue,0.372
Amory Street,Green Line,42.350992,-71.114748,"Green Line spacing filter (surface stop, under 0.5 mi since the nearest kept stop)",,Boston University Central,0.407
Blandford Street,Green Line,42.349293,-71.100258,"Green Line spacing filter (surface stop, under 0.5 mi since the nearest kept stop)",,Kenmore,0.261
Boston University East,Green Line,42.349735,-71.103889,"Green Line spacing filter (surface stop, under 0.5 mi since the nearest kept stop)",,Kenmore,0.449
Chestnut Hill Avenue,Green Line,42.338169,-71.15316,"Green Line spacing filter (surface stop, under 0.5 mi since the nearest kept stop)",,Sutherland Road,0.458
Chiswick Road,Green Line,42.340805,-71.150711,"Green Line spacing filter (surface stop, under 0.5 mi since the nearest kept stop)",,Sutherland Road,0.237
Coolidge Corner,Green Line,42.342116,-71.121263,"Green Line spacing filter (surface stop, under 0.5 mi since the nearest kept stop)",,Saint Paul Street,0.233
Dean Road,Green Line,42.337656,-71.142156,"Green Line spacing filter (surface stop, under 0.5 mi since the nearest kept stop)",,Tappan Street,0.185
Englewood Avenue,Green Line,42.337104,-71.144852,"Green Line spacing filter (surface stop, under 0.5 mi since the nearest kept stop)",,Tappan Street,0.328
Fairbanks Street,Green Line,42.339725,-71.131073,"Green Line spacing filter (surface stop, under 0.5 mi since the nearest kept stop)",,Brandon Hall,0.104
Fenwood Road,Green Line,42.333706,-71.105728,"Green Line spacing filter (surface stop, under 0.5 mi since the nearest kept stop)",,Brigham Circle,0.068
Griggs Street,Green Line,42.348545,-71.134949,"Green Line spacing filter (surface stop, under 0.5 mi since the nearest kept stop)",,Harvard Avenue,0.218
Hawes Street,Green Line,42.344906,-71.111145,"Green Line spacing filter (surface stop, under 0.5 mi since the nearest kept stop)",,Saint Mary's Street,0.207
Kent Street,Green Line,42.344074,-71.114197,"Green Line spacing filter (surface stop, under 0.5 mi since the nearest kept stop)",,Saint Mary's Street,0.373
Longwood,Green Line,42.341702,-71.109956,"Green Line spacing filter (surface stop, under 0.5 mi since the nearest kept stop)",,Fenway,0.389
