station,latitude,longitude,lines,located_in
54th/Cermak,41.85177331,-87.75669201,Pink Line,Outside Chicago city limits
Austin (Blue),41.870851,-87.776812,Blue Line,Outside Chicago city limits
Central (Purple),42.063987,-87.685617,Purple Line,Outside Chicago city limits
Cicero (Pink),41.85182,-87.745336,Pink Line,Outside Chicago city limits
Davis,42.04771,-87.683543,Purple Line,Outside Chicago city limits
Dempster,42.041655,-87.681602,Purple Line,Outside Chicago city limits
Forest Park,41.874257,-87.817318,Blue Line,Outside Chicago city limits
Foster,42.05416,-87.68356,Purple Line,Outside Chicago city limits
Harlem (Blue - Forest Park Branch),41.87349,-87.806961,Blue Line,Outside Chicago city limits
Harlem/Lake,41.886848,-87.803176,Green Line,Outside Chicago city limits
Linden,42.073153,-87.69073,Purple Line,Outside Chicago city limits
Main,42.033456,-87.679538,Purple Line,Outside Chicago city limits
Noyes,42.058282,-87.683337,Purple Line,Outside Chicago city limits
Oak Park (Blue),41.872108,-87.791602,Blue Line,Outside Chicago city limits
Oak Park (Green),41.886988,-87.793783,Green Line,Outside Chicago city limits
Ridgeland,41.887159,-87.783661,Green Line,Outside Chicago city limits
Rosemont,41.983507,-87.859388,Blue Line,Outside Chicago city limits
South Boulevard,42.027612,-87.678329,Purple Line,Outside Chicago city limits
