station,municipio,latitude,longitude
18 de Marzo,Guadalajara,20.6381097,-103.3770035
Avila Camacho,Guadalajara,20.698415349999998,-103.35497755
Belisario Dominguez,Guadalajara,20.672737599999998,-103.3314547
CUCEI,Guadalajara,20.659741150000002,-103.3240935
Circunvalación Country,Guadalajara,20.7065111,-103.36601
Cristobal de Oñate,Guadalajara,20.66751615,-103.31338005
Division del Norte,Guadalajara,20.707974399999998,-103.3556176
España,Guadalajara,20.6215975,-103.38926599999999
Guadalajara Centro,Guadalajara,20.6755849,-103.3473656
Independencia,Guadalajara,20.67096745,-103.34469899999999
Isla Raza,Guadalajara,20.63267835,-103.380693
Juárez,Guadalajara,20.674962999999998,-103.35474285000001
Juárez II,Guadalajara,20.6748834,-103.355611
La Aurora,Guadalajara,20.6624585,-103.28557025
La Normal (CETRAM),Guadalajara,20.693025499999997,-103.34837125
Mexicaltzingo,Guadalajara,20.666902299999997,-103.35538600000001
Mezquitán,Guadalajara,20.6914676,-103.3539205
Oblatos,Guadalajara,20.670283150000003,-103.3225185
Patria,Guadalajara,20.6266649,-103.385137
Plaza Universidad,Guadalajara,20.6751305,-103.34809849999999
Plaza de la Bandera,Guadalajara,20.66502275,-103.33256850000001
Refugio,Guadalajara,20.6823641,-103.3540745
Revolución,Guadalajara,20.65106665,-103.3103395
Río Nilo,Guadalajara,20.64480855,-103.3041235
San Andrés,Guadalajara,20.665292649999998,-103.306084
San Jacinto,Guadalajara,20.663882,-103.29728850000001
San Juan de Dios,Guadalajara,20.67509305,-103.34040915
Santa Filomena,Guadalajara,20.65439025,-103.36361905000001
Santuario,Guadalajara,20.68397115,-103.34784400000001
Santuario Mártires de Cristo Rey,Guadalajara,20.61381855,-103.3956111
Tetlán,Guadalajara,20.6597959,-103.2759623
Unidad Deportiva,Guadalajara,20.647223500000003,-103.369294
Urdaneta,Guadalajara,20.6431606,-103.372736
Washington,Guadalajara,20.66108995,-103.3574215
Ávila Camacho,Guadalajara,20.69927335,-103.3547635
Central de Autobuses,San Pedro Tlaquepaque,20.62324365,-103.28527249999999
Jalisco 200 Años,San Pedro Tlaquepaque,20.5750088,-103.35593065
Las Juntas,San Pedro Tlaquepaque,20.6075127,-103.3408296
Lázaro Cárdenas,San Pedro Tlaquepaque,20.6321724,-103.296194
Periférico Sur,San Pedro Tlaquepaque,20.607383900000002,-103.4008605
Tlaquepaque Centro,San Pedro Tlaquepaque,20.6377161,-103.3000365
CUTLAJO,Tlajomulco de Zúñiga,20.46938925,-103.41459029999999
Concepción del Valle,Tlajomulco de Zúñiga,20.5288021,-103.3839566
El Cuervo,Tlajomulco de Zúñiga,20.5068673,-103.39373605
Lomas del Sur,Tlajomulco de Zúñiga,20.486761350000002,-103.4041743
Real del Valle,Tlajomulco de Zúñiga,20.5594937,-103.3655129
Tlajomulco Centro,Tlajomulco de Zúñiga,20.4685827,-103.4365454
Arcos de Zapopan,Zapopan,20.74122925,-103.40739450000001
Atemajac,Zapopan,20.71625075,-103.3543681
Auditorio,Zapopan,20.73533295,-103.3508015
Dermatológico,Zapopan,20.72083145,-103.35337645000001
Mercado del Mar,Zapopan,20.7288131,-103.3891975
Periférico Belenes,Zapopan,20.73804325,-103.4030425
Periférico Norte,Zapopan,20.730800600000002,-103.35229185
Plaza Patria,Zapopan,20.712286300000002,-103.375077
Zapopan Centro,Zapopan,20.72060155,-103.3869645
