station,lines,reason,latitude,longitude
Choy Yee Bridge,LR,"spacing filter on the Light Rail: 0.257 mi after Affluence, under 0.5 mi",22.40007385,113.97434469999999
Fung Nin Road,LR,"spacing filter on the Light Rail: 0.198 mi after Hong Lok Road, under 0.5 mi",22.4445311,114.02388395
Fung Tei,LR,"spacing filter on the Light Rail: 0.353 mi after Siu Hong, under 0.5 mi",22.4067622,113.9787908
Goodview Garden,LR,"spacing filter on the Light Rail: 0.224 mi after Hoi Wong Road, under 0.5 mi",22.383303650000002,113.9730462
Hoh Fuk Tong,LR,"spacing filter on the Light Rail: 0.419 mi after Prime View, under 0.5 mi",22.39740775,113.97747475
Kei Lun,LR,"spacing filter on the Light Rail: 0.156 mi after Siu Hong, under 0.5 mi",22.41070715,113.9763902
Kin On,LR,"spacing filter on the Light Rail: 0.467 mi after Shek Pai, under 0.5 mi",22.39517445,113.9689004
Leung King,LR,"spacing filter on the Light Rail: 0.386 mi after Kin Sang, under 0.5 mi",22.40666815,113.9635777
Melody Garden,LR,"spacing filter on the Light Rail: 0.385 mi after Tuen Mun Ferry Pier, under 0.5 mi",22.375073,113.9611989
Ming Kum,LR,"spacing filter on the Light Rail: 0.296 mi after Shek Pai, under 0.5 mi",22.39715015,113.9672954
San Hui,LR,"spacing filter on the Light Rail: 0.219 mi after Prime View, under 0.5 mi",22.40024565,113.97803155
Shan King (South),LR,"spacing filter on the Light Rail: 0.483 mi after Tuen Mun, under 0.5 mi",22.3966967,113.9660737
Siu Lun,LR,"spacing filter on the Light Rail: 0.207 mi after On Ting, under 0.5 mi",22.3845824,113.9750384
Tai Hing (South),LR,"spacing filter on the Light Rail: 0.166 mi after Ngan Wai, under 0.5 mi",22.40274895,113.97201849999999
Tin Heng,LR,"spacing filter on the Light Rail: 0.393 mi after Tin Sau, under 0.5 mi",22.469726549999997,114.000759
Tin Yiu,LR,"spacing filter on the Light Rail: 0.438 mi after Tin Shui, under 0.5 mi",22.4503583,114.0027663
Tin Yuet,LR,"spacing filter on the Light Rail: 0.434 mi after Ginza, under 0.5 mi",22.462767749999998,114.00161449999999
