station,x,y,records,in_city_spatial,in_city_field,municipio_codes
ALCORCON CENTRAL,429363.1344999997,4466946.3155000005,1,False,False,007
ALONSO DE MENDOZA,437397.39180000033,4461405.7974,1,False,False,065
ARGANDA DEL REY,461969.6063000001,4461558.495100001,1,False,False,014
ARROYO CULEBRO,435670.4013,4460080.2765999995,1,False,False,065
BARRIO DEL PUERTO,451714.87870000023,4474807.4726,1,False,False,049
BAUNATAL,446226.6913999999,4489489.489499999,1,False,False,134
CASA DEL RELOJ,435485.2966,4464284.6492,1,False,False,074
CONSERVATORIO,436614.90780000016,4460572.022,1,False,False,065
COSLADA CENTRAL,452394.0789999999,4474940.698999999,1,False,False,049
EL BERCIAL,438018.4539999999,4464537.490700001,1,False,False,065
EL CARRASCAL,437129.1124,4465384.7301,1,False,False,074
EL CASAR,439704.26865,4463360.2376999995,2,False,False,065
FUENLABRADA CENTRAL,432087.2132000001,4459438.3718,1,False,False,058
GETAFE CENTRAL,437627.75189999957,4462415.5809,1,False,False,065
HENARES,455275.54700000025,4474260.6274999995,1,False,False,130
HOSPITAL DE FUENLABRADA,430601.8792000003,4459793.7793000005,1,False,False,058
HOSPITAL DE MOSTOLES,425680.22020000033,4463256.3487,1,False,False,092
HOSPITAL DEL HENARES,454651.3203999996,4474246.676100001,1,False,False,049
HOSPITAL INFANTA SOFIA,448234.93879999965,4490068.775800001,1,False,False,134
HOSPITAL SEVERO OCHOA,434754.46190000046,4463754.5206,1,False,False,074
JARAMA,455421.88659999985,4474835.3418000005,1,False,False,130
JOAQUIN VILUMBRALES,431450.09140000027,4466900.7632,1,False,False,007
JUAN DE LA CIERVA,438630.85539999977,4462615.4078,1,False,False,065
JULIAN BESTEIRO,436067.7790999999,4465183.974400001,1,False,False,074
LA FORTUNA,433952.67399999965,4467778.068499999,1,False,False,074
LA GRANJA,444217.6353000002,4486526.6269000005,1,False,False,006
LA MORALEJA,446171.9785000002,4486995.8347,1,False,False,006
LA POVEDA,459435.4500000002,4463275.182499999,1,False,False,014
LA RAMBLA,453520.62090000045,4475089.8412999995,1,False,False,049
LEGANES CENTRAL,434458.65160000045,4464558.0002,1,False,False,074
LORANCA,428805.72750000004,4461037.975500001,1,False,False,058
LOS ESPARTALES,438985.5170999998,4463991.7228999995,1,False,False,065
MANUEL DE FALLA,445228.3337000003,4489059.041200001,1,False,False,006
MANUELA MALASAÑA,426580.4979999997,4462415.5836,1,False,False,092
MARQUES DE LA VALDAVIA,446024.6535,4488003.5041000005,1,False,False,006
MOSTOLES CENTRAL,426642.2801000001,4464576.3440000005,1,False,False,092
PARQUE DE LOS ESTADOS,433105.70299999975,4459891.046599999,1,False,False,058
PARQUE EUROPA,431459.31070000026,4459721.5671,1,False,False,058
PARQUE LISBOA,430261.46279999986,4466893.848099999,1,False,False,007
PARQUE OESTE,427867.41110000014,4466495.4003,1,False,False,007
PRADILLO,426520.4331,4463820.09,1,False,False,092
PUERTA DEL SUR,431012.4959,4466403.985,2,False,False,007
REYES CATOLICOS,447216.33249999955,4489033.0415,1,False,False,134
RIVAS FUTURA,455427.9134999998,4465776.118899999,1,False,False,123
RIVAS URBANIZACIONES,453535.48340000026,4468610.289100001,1,False,False,123
RIVAS VACIAMADRID,455775.44489999954,4464334.2433,1,False,False,123
SAN FERNANDO,454581.27610000037,4475002.169399999,1,False,False,130
SAN NICASIO,434097.23869999964,4465357.9564,1,False,False,074
UNIVERSIDAD REY JUAN CARLOS,425915.7659999998,4465318.654999999,1,False,False,092
