station,latitude,longitude,lines,distance_outside_m
Ciudad Azteca,19.5345226,-99.0275525,STC Metro,5492.0
Plaza Aragón,19.5284747,-99.0302011,STC Metro,4824.0
Olímpica,19.5213104,-99.0333688,STC Metro,4056.0
Ecatepec,19.5151556,-99.0360694,STC Metro,3433.0
Múzquiz,19.5014917,-99.042076,STC Metro,2306.0
La Paz,19.3505168,-98.9609329,STC Metro,2000.0
Río de Remedios,19.4906012,-99.0468467,STC Metro,1997.0
Impulsora,19.485692,-99.0489971,STC Metro,1689.0
Los Reyes,19.3590226,-98.9768726,STC Metro,1366.0
Nezahualcóyotl,19.4728672,-99.0546362,STC Metro,603.0
