station,latitude,longitude,reason
ASSAGO MILANOFIORI FORUM,45.40174850104714,9.145538807891427,outside the Comune di Milano boundary
ASSAGO MILANOFIORI NORD,45.40945450104614,9.150046307890632,outside the Comune di Milano boundary
BUSSERO,45.52530166255255,9.375896921658377,outside the Comune di Milano boundary
CASCINA ANTONIETTA,45.54207947755688,9.423500191490161,outside the Comune di Milano boundary
CASCINA BURRONA,45.51736435689484,9.29783542421094,outside the Comune di Milano boundary
CASSINA DE PECCHI,45.52186403371028,9.363121602131207,outside the Comune di Milano boundary
CERNUSCO SUL NAVIGLIO,45.52106901120665,9.331377713029724,outside the Comune di Milano boundary
COLOGNO CENTRO,45.52747820102605,9.28296420785263,outside the Comune di Milano boundary
COLOGNO NORD,45.53430280102485,9.291094107850261,outside the Comune di Milano boundary
COLOGNO SUD,45.52021310102728,9.27492710785491,outside the Comune di Milano boundary
GESSATE,45.54528723128334,9.436625130131565,outside the Comune di Milano boundary
GORGONZOLA,45.536741001016644,9.403454107805203,outside the Comune di Milano boundary
LINATE AEROPORTO,45.46285013515022,9.277901470319877,outside the Comune di Milano boundary
PERO,45.50879970104198,9.085806707929784,outside the Comune di Milano boundary
RHO FIERAMILANO,45.519839801040895,9.087107307930731,outside the Comune di Milano boundary
SESTO 1 MAGGIO FS,45.541691201027994,9.23833340787256,outside the Comune di Milano boundary
SESTO MARELLI,45.523477101030345,9.22796150787432,outside the Comune di Milano boundary
SESTO RONDO,45.53415930102917,9.231245807874418,outside the Comune di Milano boundary
VILLA FIORITA,45.52073979974015,9.345971366778187,outside the Comune di Milano boundary
VILLA POMPEA,45.527848518671256,9.384974351830312,outside the Comune di Milano boundary
VIMODRONE,45.51578330102689,9.285989107849856,outside the Comune di Milano boundary
