station,line,latitude,longitude,reason,nearest_kept_station,miles_since_nearest_kept
69th St Transit Center,,39.962338,-75.258555,outside Philadelphia city limits,,
Chester Av & 65th St,,39.929359,-75.244762,outside Philadelphia city limits,,
Darby Transit Center,,39.919085,-75.262376,outside Philadelphia city limits,,
Main St & 3rd St,,39.916892,-75.251534,outside Philadelphia city limits,,
Millbourne,,39.96432,-75.252243,outside Philadelphia city limits,,
Yeadon,,39.924525,-75.252542,outside Philadelphia city limits,,
Girard Av & 11th St,G1,39.970845,-75.154021,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 7th St,0.319
Girard Av & 12th St,G1,39.971045,-75.155603,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 7th St,0.404
Girard Av & 16th St,G1,39.971908,-75.162605,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Broad-Girard,0.179
Girard Av & 17th St,G1,39.972116,-75.164151,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Broad-Girard,0.262
Girard Av & 19th St,G1,39.972507,-75.167339,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Broad-Girard,0.433
Girard Av & 24th St,G1,39.972453,-75.175844,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 20th St,0.372
Girard Av & 27th St,G1,39.974202,-75.18028,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 26th St,0.083
Girard Av & 28th St,G1,39.974375,-75.181756,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 26th St,0.162
Girard Av & 29th St,G1,39.974574,-75.183361,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 26th St,0.249
Girard Av & 2nd St,G1,39.9695,-75.13945,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Front-Girard,0.183
Girard Av & 31st St,G1,39.975009,-75.186549,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 26th St,0.42
Girard Av & 33rd St,G1,39.975199,-75.188002,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 26th St,0.498
Girard Av & 39th St,G1,39.974511,-75.201683,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 34th St,0.279
Girard Av & 3rd St,G1,39.969799,-75.141386,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Front-Girard,0.288
Girard Av & 40th St,G1,39.974159,-75.204543,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 34th St,0.433
Girard Av & 42nd St,G1,39.973658,-75.208797,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 41st St,0.136
Girard Av & 49th St,G1,39.972917,-75.219064,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & Merion Av,0.148
Girard Av & 4th St,G1,39.96999,-75.142968,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Front-Girard,0.373
Girard Av & 51st St,G1,39.971987,-75.223438,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & Merion Av,0.388
Girard Av & 54th St,G1,39.971165,-75.228614,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 52nd St,0.151
Girard Av & 56th St,G1,39.970761,-75.232477,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 52nd St,0.357
Girard Av & 57th St,G1,39.970585,-75.234096,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 52nd St,0.444
Girard Av & 5th St,G1,39.970218,-75.144905,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Front-Girard,0.477
Girard Av & 60th St,G1,39.970039,-75.238988,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 59th St,0.089
Girard Av & 8th St,G1,39.970568,-75.149853,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 7th St,0.097
Girard Av & Belmont Av,G1,39.973315,-75.212094,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 41st St,0.312
Girard Av & Columbia Av,G1,39.970265,-75.130423,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & Berks St,0.267
Girard Av & Corinthian Av,G1,39.972888,-75.17022,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 20th St,0.072
Girard Av & Frankford Av,G1,39.968891,-75.134397,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & Berks St,0.498
Girard Av & Palmer St,G1,39.970983,-75.1284,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & Berks St,0.149
Girard Av & Ridge Av,G1,39.97238,-75.166217,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Broad-Girard,0.373
Haverford Av & 61st St,G1,39.970899,-75.240781,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 59th St,0.201
Haverford Av & 62nd St,G1,39.971642,-75.242704,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 59th St,0.315
Haverford Av & 63rd St,G1,39.971895,-75.244641,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 59th St,0.419
Poplar St & 25th St,G1,39.972492,-75.177403,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Girard Av & 20th St,0.454
Richmond St & Allegheny Av,G1,39.983053,-75.101437,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Richmond St & Westmoreland St Loop,0.13
Richmond St & Cambria St,G1,39.979092,-75.108862,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Richmond St & Ann St,0.101
Richmond St & Clearfield St,G1,39.981783,-75.103782,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Richmond St & Westmoreland St Loop,0.282
Richmond St & Cumberland St,G1,39.974331,-75.118038,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Richmond St & Huntingdon St,0.159
Richmond St & Girard Av,G1,39.973068,-75.119591,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Richmond St & Huntingdon St,0.279
Richmond St & Lehigh Av,G1,39.976907,-75.113101,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Richmond St & Ann St,0.372
Richmond St & Somerset St,G1,39.978159,-75.110697,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Richmond St & Ann St,0.218
36th St & Market St,T1,39.956281,-75.194218,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lancaster Av & 38th St,0.367
36th St Portal,T1,39.955335,-75.194162,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lancaster Av & 38th St,0.432
63rd St & Jefferson St,T1,39.97835,-75.246184,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",63rd-Malvern,0.429
63rd St & Lebanon Av,T1,39.980912,-75.246661,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",63rd-Malvern,0.25
Lancaster Av & 36th St,T1,39.958565,-75.193786,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lancaster Av & 38th St,0.208
Lancaster Av & 40th St,T1,39.963151,-75.20244,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lancaster Av & 41st St,0.213
Lancaster Av & 42nd St,T1,39.966391,-75.207662,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lancaster Av & 45th St,0.362
Lancaster Av & 43th St,T1,39.967725,-75.209878,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lancaster Av & 45th St,0.213
Lancaster Av & 44th St,T1,39.968772,-75.211541,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lancaster Av & 45th St,0.099
Lancaster Av & 47th St,T1,39.971555,-75.216115,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lancaster Av & 50th St,0.426
Lancaster Av & Bible Way,T1,39.976855,-75.226176,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lansdowne Av & 57th St,0.5
Lancaster Av & Girard Av,T1,39.973059,-75.218615,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lancaster Av & 50th St,0.258
Lancaster Av & Powelton Av,T1,39.959774,-75.19612,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lancaster Av & 38th St,0.058
Lancaster Av & Spring Garden St,T1,39.962004,-75.200353,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lancaster Av & 41st St,0.349
Lancaster Av & Thompson St,T1,39.973748,-75.219747,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lancaster Av & 50th St,0.181
Lansdowne Av & 54th St,T1,39.977013,-75.229908,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lansdowne Av & 57th St,0.294
Lansdowne Av & 55th St,T1,39.976811,-75.231858,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lansdowne Av & 57th St,0.19
Lansdowne Av & 56th St,T1,39.976591,-75.233761,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lansdowne Av & 57th St,0.088
Lansdowne Av & 58th St,T1,39.976248,-75.236904,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lansdowne Av & 63rd,0.433
Lansdowne Av & 59th St,T1,39.976054,-75.238653,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lansdowne Av & 63rd,0.339
Lansdowne Av & 60th St,T1,39.975851,-75.240378,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lansdowne Av & 63rd,0.247
Lansdowne Av & 61st St,T1,39.975693,-75.241879,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lansdowne Av & 63rd,0.166
Lansdowne Av & 62nd St,T1,39.975499,-75.243651,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lansdowne Av & 63rd,0.072
Lansdowne Av & Lancaster Av,T1,39.977295,-75.227451,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Lansdowne Av & 57th St,0.426
Malvern Av & 63rd St,T1,39.983697,-75.247009,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",63rd-Malvern,0.057
Baltimore Av & 43rd St,T2,39.949481,-75.20932,"spacing filter (street-running stop, < 0.5mi since nearest kept stop)",Baltimore Av & 47th St,0.422
