station,lines,reason,latitude,longitude
"'s-Gravenhage, Den Haag Centraal",E,"in Den Haag (0518), outside gemeente 0599",52.080343,4.32611
"'s-Gravenhage, Forepark",E,"in Den Haag (0518), outside gemeente 0599",52.0696535,4.393348
"'s-Gravenhage, Leidschenveen",E,"in Den Haag (0518), outside gemeente 0599",52.0644255,4.400734
"Barendrecht, Carnisselande",5,"in Barendrecht (0489), outside gemeente 0599",51.844072,4.500721
"Barendrecht, Meerwede",5,"in Barendrecht (0489), outside gemeente 0599",51.854438,4.5015625
"Barendrecht, Middeldijkerplein",5,"in Barendrecht (0489), outside gemeente 0599",51.8484205,4.500991
"Barendrecht, Vrijenburg",5,"in Barendrecht (0489), outside gemeente 0599",51.860369500000004,4.502571
"Barendrecht, Waterkant",5,"in Barendrecht (0489), outside gemeente 0599",51.8452945,4.500683
"Berkel en Rodenrijs, Berkel Westpolder",E,"in Lansingerland (1621), outside gemeente 0599",51.990211,4.454257500000001
"Berkel en Rodenrijs, Rodenrijs",E,"in Lansingerland (1621), outside gemeente 0599",51.9752255,4.4608785
"Capelle aan den IJssel, Capelle Centrum",C,"in Capelle aan den IJssel (0502), outside gemeente 0599",51.931392,4.5896075
"Capelle aan den IJssel, De Terp",C,"in Capelle aan den IJssel (0502), outside gemeente 0599",51.935795,4.600079
"Capelle aan den IJssel, Slotlaan",C,"in Capelle aan den IJssel (0502), outside gemeente 0599",51.9284795,4.578377
"Den Haag, Laan van NOI",E,"in Den Haag (0518), outside gemeente 0599",52.079399499999994,4.343719
"Maassluis, Maassluis Centrum",B,"in Maassluis (0556), outside gemeente 0599",51.9164435,4.253689
"Maassluis, Maassluis West",B,"in Maassluis (0556), outside gemeente 0599",51.9262505,4.2351220000000005
"Maassluis, Steendijkpolder",B,"in Maassluis (0556), outside gemeente 0599",51.932717333333336,4.224750333333334
"Nootdorp, Nootdorp",E,"in Pijnacker-Nootdorp (1926), outside gemeente 0599",52.047705,4.41458
"Pijnacker, Pijnacker Centrum",E,"in Pijnacker-Nootdorp (1926), outside gemeente 0599",52.0206175,4.4371244999999995
"Pijnacker, Pijnacker Zuid",E,"in Pijnacker-Nootdorp (1926), outside gemeente 0599",52.004965999999996,4.445809000000001
