station,latitude,longitude,located_in
E Street Station,32.638974954999995,-117.099061525,CHULA VISTA
H Street Station,32.63003542,-117.095574615,CHULA VISTA
Palomar Street Station,32.60316053,-117.08508497,CHULA VISTA
Arnele Avenue Station,32.804575075,-116.97572908999999,EL CAJON
El Cajon Station,32.79226004,-116.97615307000001,EL CAJON
Gillespie Field Station,32.82687995,-116.982060915,EL CAJON
70th Street Station,32.772218545,-117.0423896,LA MESA
Amaya Drive Station,32.785411505,-117.00173451,LA MESA
Grossmont Station,32.78162509,-117.01136855,LA MESA
La Mesa Blvd Station,32.765021000000004,-117.020548015,LA MESA
Spring Street Station,32.756830525,-117.01745803,LA MESA
Lemon Grove Depot,32.743388995000004,-117.030718465,LEMON GROVE
Massachusetts Ave Station,32.723510469999994,-117.039584435,LEMON GROVE
24th Street Station,32.6618345,-117.108005615,NATIONAL CITY
8th Street Station,32.674876095,-117.11308847999999,NATIONAL CITY
Santee Town Center Station,32.84155808,-116.98113185,SANTEE
