station,lines,reason,latitude,longitude
Ansan,Line 4 Suin–Bundang Line,outside Seoul's boundary,37.32706098333333,126.78876365
Anyang,Line 1,outside Seoul's boundary,37.40144905,126.92304295
Asan,Line 1,outside Seoul's boundary,36.7920852,127.1044469
Asin,Gyeongui–Jungang Line,outside Seoul's boundary,37.513917250000006,127.44323285
Baebang,Line 1,outside Seoul's boundary,36.77762405,127.0528192
Baegun,Line 1,outside Seoul's boundary,37.4830106,126.70695565
Baekseok,Line 3,outside Seoul's boundary,37.6430864,126.78796255
Baengma,Gyeongui–Jungang Line,outside Seoul's boundary,37.6575978,126.7949216
Banwol,Line 4,outside Seoul's boundary,37.31243275,126.9038537
Beomgye,Line 4,outside Seoul's boundary,37.389907199999996,126.9509103
Bojeong,Suin–Bundang Line,outside Seoul's boundary,37.312352950000005,127.10832400000001
Bongmyeong,Line 1,outside Seoul's boundary,36.801399849999996,127.13607164999999
Bosan,Line 1,outside Seoul's boundary,37.914117950000005,127.0572249
Bucheon,Line 1,outside Seoul's boundary,37.484111150000004,126.78272705
Bucheon City Hall,Line 7,outside Seoul's boundary,37.5047652,126.76317800000001
Bucheon Stadium,Line 7,outside Seoul's boundary,37.5054479,126.7972585
Bugae,Line 1,outside Seoul's boundary,37.488480300000006,126.74075975
Bupyeong,Line 1,outside Seoul's boundary,37.489460875,126.724560725
Bupyeong-gu Office,Line 7,outside Seoul's boundary,37.5074886,126.72095709999999
Byeollae,Line 8 Gyeongchun Line,outside Seoul's boundary,37.64237075,127.12748437500001
Byeollaebyeolgaram,Line 4,outside Seoul's boundary,37.6677962,127.11618745
Byeongjeom,Line 1,outside Seoul's boundary,37.206827425,127.0331232
Cheolsan,Line 7,outside Seoul's boundary,37.476040999999995,126.8677667
Cheonan,Line 1,outside Seoul's boundary,36.8109339,127.14656635
Cheongsan,Line 1,outside Seoul's boundary,37.99508315,127.07422505
Choji,Line 4 Suin–Bundang Line,outside Seoul's boundary,37.3207102,126.80592225000001
Chunui,Line 7,outside Seoul's boundary,37.5037262,126.78718219999999
Daegok,Line 3 Gyeongui–Jungang Line,outside Seoul's boundary,37.6318142,126.810424575
Daehwa,Line 3,outside Seoul's boundary,37.6761745,126.74746815
Daeyami,Line 4,outside Seoul's boundary,37.3279736,126.91689894999999
Dandaeogeori,Line 8,outside Seoul's boundary,37.44508145,127.15677604999999
Dangjeong,Line 1,outside Seoul's boundary,37.34334405,126.94835635
Dasan,Line 8,outside Seoul's boundary,37.62432035,127.14977395
Deokgye,Line 1,outside Seoul's boundary,37.8187667,127.0567015
Deokjeong (Seojeong College),Line 1,outside Seoul's boundary,37.8432631,127.0615646
Dohwa,Line 1,outside Seoul's boundary,37.46610149999999,126.6686176
Dongam,Line 1,outside Seoul's boundary,37.470726125,126.7028595
Dongcheon,Shinbundang Line,outside Seoul's boundary,37.337877399999996,127.10280965
Dongducheon,Line 1,outside Seoul's boundary,37.9275599,127.054875
Dongducheonjungang,Line 1,outside Seoul's boundary,37.90172765,127.05652574999999
Donggureung,Line 8,outside Seoul's boundary,37.61096805,127.13808069999999
Dongincheon,Line 1,outside Seoul's boundary,37.47509785,126.633077325
Donong,Gyeongui–Jungang Line,outside Seoul's boundary,37.60879335,127.1612049
Dowon,Line 1,outside Seoul's boundary,37.46877,126.64251645
Dujeong,Line 1,outside Seoul's boundary,36.83411695,127.1489162
Eocheon,Suin–Bundang Line,outside Seoul's boundary,37.25009505,126.9090022
Gachon Univ.,Suin–Bundang Line,outside Seoul's boundary,37.44869765,127.12672255000001
Galmae,Gyeongchun Line,outside Seoul's boundary,37.633942450000006,127.1147168
Ganeung,Line 1,outside Seoul's boundary,37.7483781,127.04440685
Gangmae,Gyeongui–Jungang Line,outside Seoul's boundary,37.61228309999999,126.844492825
Ganseok,Line 1,outside Seoul's boundary,37.4647324,126.6933966
Geumjeong,Line 1 Line 4,outside Seoul's boundary,37.372332,126.943378425
Giheung,Suin–Bundang Line,outside Seoul's boundary,37.2755089,127.11601265
Gojan,Line 4 Suin–Bundang Line,outside Seoul's boundary,37.31686475,126.82301165
Goksan,Gyeongui–Jungang Line,outside Seoul's boundary,37.64576515,126.8017973
Gosaek,Suin–Bundang Line,outside Seoul's boundary,37.249708,126.980459525
Government Complex Gwacheon,Line 4,outside Seoul's boundary,37.426449,126.9897244
Gunpo,Line 1,outside Seoul's boundary,37.354190625,126.948475
Guri,Line 8 Gyeongui–Jungang Line,outside Seoul's boundary,37.602820799999996,127.1420908
Gwacheon,Line 4,outside Seoul's boundary,37.433065299999996,126.99683205
Gwanak,Line 1,outside Seoul's boundary,37.4197271,126.90834585
Gwanggyo,Shinbundang Line,outside Seoul's boundary,37.30217675,127.04414025
Gwanggyo Jungang,Shinbundang Line,outside Seoul's boundary,37.2885603,127.0515173
Gwangmyeong,Line 1,outside Seoul's boundary,37.41637275,126.88474295
Gwangmyeongsageori,Line 7,outside Seoul's boundary,37.4794557,126.85431915000001
