station,lines,reason,latitude,longitude
Airport Hotel,Airport MRT,outside Taipei and New Taipei (no door plate of either city within 300 m),25.069129699999998,121.22056235
Airport Terminal 1,Airport MRT,outside Taipei and New Taipei (no door plate of either city within 300 m),25.0805003,121.23839175
Airport Terminal 2,Airport MRT,outside Taipei and New Taipei (no door plate of either city within 300 m),25.0772295,121.23225045000001
Chang Gung Memorial Hospital,Airport MRT,outside Taipei and New Taipei (no door plate of either city within 300 m),25.0604841,121.3707933
Dayuan,Airport MRT,outside Taipei and New Taipei (no door plate of either city within 300 m),25.055820599999997,121.2106497
Hengshan,Airport MRT,outside Taipei and New Taipei (no door plate of either city within 300 m),25.036477750000003,121.21577690000001
Huanbei,Airport MRT,outside Taipei and New Taipei (no door plate of either city within 300 m),24.96716885,121.220776
Kengkou,Airport MRT,outside Taipei and New Taipei (no door plate of either city within 300 m),25.0864362,121.2664706
Laojie River,Airport MRT,outside Taipei and New Taipei (no door plate of either city within 300 m),24.9585827,121.21937940000001
Linghang,Airport MRT,outside Taipei and New Taipei (no door plate of either city within 300 m),25.0240985,121.22109449999999
National Taiwan Sport University,Airport MRT,outside Taipei and New Taipei (no door plate of either city within 300 m),25.0413259,121.38540710000001
Shanbi,Airport MRT,outside Taipei and New Taipei (no door plate of either city within 300 m),25.0807969,121.28518895
Taoyuan HSR Station,Airport MRT,outside Taipei and New Taipei (no door plate of either city within 300 m),25.0137187,121.21414415000001
Taoyuan Sports Park,Airport MRT,outside Taipei and New Taipei (no door plate of either city within 300 m),25.00175425,121.203289
Xingnan,Airport MRT,outside Taipei and New Taipei (no door plate of either city within 300 m),24.9800084,121.21641615
