station,latitude,longitude,lines,state,distance_outside_m,nearest_station_m
Addison Rd,38.88673121,-76.8941346,"Blue Line, Silver Line",Maryland,1473.3,
Bethesda,38.98327505,-77.09365421,Red Line,Maryland,2233.4,
Branch Av,38.82671771,-76.9118167,Green Line,Maryland,5044.8,
Capitol Heights,38.88942916,-76.91183314,"Blue Line, Silver Line",Maryland,111.2,
Cheverly,38.91664068,-76.91666181,"Orange Line, Silver Line",Maryland,1397.6,
College Park-U of Md,38.97830324,-76.92834004,"Green Line, Yellow Line",Maryland,5516.1,
Downtown Largo,38.90051057,-76.84465397,"Blue Line, Silver Line",Maryland,5657.7,
Forest Glen,39.01494587,-77.04292734,Red Line,Maryland,2113.6,
Glenmont,39.0617673,-77.05354802,Red Line,Maryland,7385.5,
Greenbelt,39.01109343,-76.91119726,"Green Line, Yellow Line",Maryland,9138.4,
Grosvenor-Strathmore,39.02973159,-77.10411655,Red Line,Maryland,6518.6,
Hyattsville Crossing,38.96529153,-76.95642247,"Green Line, Yellow Line",Maryland,2773.4,
Landover,38.93350374,-76.89126522,"Orange Line, Silver Line",Maryland,4278.7,
Medical Center,38.99822547,-77.09675826,Red Line,Maryland,3596.4,
Morgan Blvd,38.89400109,-76.86770736,"Blue Line, Silver Line",Maryland,3597.1,
Naylor Rd,38.85112092,-76.95660457,Green Line,Maryland,381.3,
New Carrollton,38.94802813,-76.8718705,"Orange Line, Silver Line",Maryland,6607.7,
North Bethesda,39.04853893,-77.11307619,Red Line,Maryland,8542.6,
Rockville,39.08427172,-77.14619289,Red Line,Maryland,13382.8,
Shady Grove,39.11992667,-77.16466928,Red Line,Maryland,17436.3,
Silver Spring,38.99379857,-77.03130704,Red Line,Maryland,421.2,
Southern Av,38.84095364,-76.97521082,Green Line,Maryland,40.1,
Suitland,38.84466776,-76.93286932,Green Line,Maryland,2343.1,
Twinbrook,39.06269642,-77.12121591,Red Line,Maryland,10157.0,
West Hyattsville,38.95527582,-76.96949977,"Green Line, Yellow Line",Maryland,1185.7,
Wheaton,39.03754324,-77.0501104,Red Line,Maryland,4682.9,
Arlington Cemetery,38.88458844,-77.06309959,Blue Line,Virginia,130.0,
Ashburn,39.00519576,-77.49143447,Silver Line,Virginia,33156.9,
Ballston-MU,38.8822602,-77.11322048,"Orange Line, Silver Line",Virginia,3128.0,
Braddock Rd,38.81408652,-77.05372176,"Blue Line, Yellow Line",Virginia,1348.5,
Clarendon,38.88673936,-77.09544242,"Orange Line, Silver Line",Virginia,1949.6,
Court House,38.89015263,-77.08714356,"Orange Line, Silver Line",Virginia,1393.8,
Crystal City,38.85784574,-77.05057183,"Blue Line, Yellow Line",Virginia,914.6,
Dunn Loring,38.8836488,-77.22724305,Orange Line,Virginia,10840.1,
East Falls Church,38.88602629,-77.15694404,"Orange Line, Silver Line",Virginia,5536.0,
Eisenhower Av,38.8003537,-77.07115634,"Blue Line, Yellow Line",Virginia,2777.4,
Franconia-Springfield,38.76650549,-77.16799097,Blue Line,Virginia,11549.1,
Greensboro,38.9212686,-77.23416237,Silver Line,Virginia,10023.4,
Herndon,38.952821,-77.385178,Silver Line,Virginia,23100.2,
Huntington,38.79382977,-77.07530039,"Blue Line, Yellow Line",Virginia,3148.3,
Innovation Center,38.96088128,-77.4156382,Silver Line,Virginia,25817.2,
King St-Old Town,38.80660864,-77.0609744,"Blue Line, Yellow Line",Virginia,1969.4,
Loudoun Gateway,38.99204,-77.460685,Silver Line,Virginia,30234.1,
McLean,38.92433888,-77.21053,Silver Line,Virginia,7946.2,
Pentagon,38.86919464,-77.05411341,"Blue Line, Yellow Line",Virginia,433.5,
Pentagon City,38.86185214,-77.05951586,"Blue Line, Yellow Line",Virginia,1355.5,
Potomac Yard,38.83319218,-77.04641974,"Blue Line, Yellow Line",Virginia,167.4,
Reston Town Center,38.95276485,-77.36018298,Silver Line,Virginia,20941.8,
Ronald Reagan Washington National Airport,38.85350503,-77.04404792,"Blue Line, Yellow Line",Virginia,960.1,
Rosslyn,38.89603409,-77.07083752,"Blue Line, Orange Line, Silver Line",Virginia,337.4,
Spring Hill,38.92921225,-77.24189135,Silver Line,Virginia,10602.7,
Tysons,38.92068462,-77.22158868,Silver Line,Virginia,8956.7,
Van Dorn St,38.79929181,-77.12926966,Blue Line,Virginia,7826.8,
Vienna,38.87757822,-77.2724589,Orange Line,Virginia,14665.0,
Virginia Sq-GMU,38.88343309,-77.10302399,"Orange Line, Silver Line",Virginia,2563.1,
Washington Dulles International Airport,38.95578589,-77.44818941,Silver Line,Virginia,28571.2,
West Falls Church,38.9007884,-77.18922099,Orange Line,Virginia,7037.8,
Wiehle-Reston East,38.94783193,-77.34031555,Silver Line,Virginia,19178.4,
